step_sequence_number,iteration,condition,write_algorithm,read_algorithm,session_id,write_latency_ms,flush_latency_ms,total_bytes_written,handoff_latency_ms,context_payload_bytes,context_token_count,compression_ratio,input_token_delta,estimated_cost_usd,input_tokens_used,output_tokens_used,simulator_input_tokens,simulator_output_tokens,handoff_input_tokens,handoff_output_tokens,execution_latency_ms,simulated_wan_latency_ms,wan_simulation_active,retrieval_accuracy_score,state_integrity_score,extra
10,10,D_W0_R0,W0,R0,b3985c7d-301d-47b4-bb03-1c9ddeb92b8c,0.0026875022740568966,0.0026875022740568966,3208,4388.796700019157,3701,871,1.0,0,0.002211,3438,1076,2567,808,871,268,22331.027,0.0,False,1.0,1.0,"{""interaction_class"": ""Baseline""}"
11,11,D_W0_R0,W0,R0,a8f627a5-1576-4b66-95a3-61e3f9420920,0.0020124971342738718,0.0020124971342738718,4005,4209.079099993687,4459,980,1.0,0,0.0027,3792,1257,2812,913,980,344,17103.086,0.0,False,1.0,0.25,"{""interaction_class"": ""Baseline""}"
12,12,D_W0_R0,W0,R0,fa4668b5-33b9-4341-8d7d-e5379e49a525,0.0043000036384910345,0.0043000036384910345,4653,4113.064699980896,5240,1353,1.0,0,0.003818,4285,1772,2932,1279,1353,493,16182.398,0.0,False,1.0,1.0,"{""interaction_class"": ""Baseline""}"
13,13,D_W0_R0,W0,R0,016d0df2-da2e-41d7-ab63-a2770867fa24,0.002224995114374906,0.002224995114374906,3316,3669.946299982257,3796,886,1.0,0,0.002216,3606,1084,2720,818,886,266,15197.726,0.0,False,1.0,0.25,"{""interaction_class"": ""Baseline""}"
14,14,D_W0_R0,W0,R0,efaf4b27-cd4c-45e4-acdc-af14b24940c3,0.0020625011529773474,0.0020625011529773474,3951,3328.965499997139,4431,914,1.0,0,0.002354,3658,1134,2744,846,914,288,16944.176,0.0,False,1.0,1.0,"{""interaction_class"": ""Baseline""}"
15,15,D_W0_R0,W0,R0,bd216e6f-242e-420f-8330-20e0c4eba10b,0.00222500239033252,0.00222500239033252,3761,3861.6830999962986,4224,919,1.0,0,0.002324,3670,1131,2751,850,919,281,16264.692,0.0,False,1.0,0.25,"{""interaction_class"": ""Baseline""}"
16,16,D_W0_R0,W0,R0,9d7ad4f5-6e2a-4a2a-a7ae-6b25afc8323a,0.0022874992282595485,0.0022874992282595485,2598,3975.861899991287,3050,695,1.0,0,0.0021,3073,913,2378,632,695,281,14608.977,0.0,False,1.0,0.5,"{""interaction_class"": ""Baseline""}"
17,17,D_W0_R0,W0,R0,0b216543-4439-4800-81b7-7b5985872c8e,0.00232499951380305,0.00232499951380305,3101,3660.3803999896627,3566,890,1.0,0,0.002155,3601,1075,2711,822,890,253,14981.215,0.0,False,0.95,0.0,"{""interaction_class"": ""Baseline""}"
18,18,D_W0_R0,W0,R0,60dec569-d8cb-4514-aeff-f0ecf9c2e61f,0.0043249929149169475,0.0043249929149169475,3842,3369.8634000029415,4312,891,1.0,0,0.002146,3608,1076,2717,825,891,251,15190.466,0.0,False,0.95,0.0,"{""interaction_class"": ""Baseline""}"
19,19,D_W0_R0,W0,R0,71461d94-7f27-4d73-ad5c-e7071abf30e8,0.002825003321049735,0.002825003321049735,3895,4362.234200001694,4352,995,1.0,0,0.00265,3816,1257,2821,926,995,331,17472.627,0.0,False,1.0,1.0,"{""interaction_class"": ""Baseline""}"
20,20,D_W0_R0,W0,R0,4887e154-17a9-4c41-a4a7-e1c393064658,0.002337499608984217,0.002337499608984217,3749,4529.42149998853,4194,912,1.0,0,0.002572,3661,1175,2749,843,912,332,17397.997,0.0,False,1.0,0.0,"{""interaction_class"": ""Baseline""}"
21,21,D_W0_R0,W0,R0,5b905eba-1673-4dc4-8d4a-3f56ccc29fe9,0.009650004358263686,0.009650004358263686,4217,3766.1519999965094,4795,1164,1.0,0,0.002824,4097,1424,2933,1092,1164,332,17569.275,0.0,False,1.0,1.0,"{""interaction_class"": ""Baseline""}"
22,22,D_W0_R0,W0,R0,47a7d738-7202-4829-a02e-eeaa9e709a75,0.0028500071493908763,0.0028500071493908763,3767,3539.9403999908827,4234,969,1.0,0,0.002144,3772,1135,2803,900,969,235,15207.416,0.0,False,1.0,0.0,"{""interaction_class"": ""Baseline""}"
23,23,D_W0_R0,W0,R0,ae1f136e-5d6b-4454-9c55-693b872fe275,0.0029750008252449334,0.0029750008252449334,3705,4182.46840001666,4195,1066,1.0,0,0.002611,3942,1313,2876,1004,1066,309,17207.841,0.0,False,1.0,1.0,"{""interaction_class"": ""Baseline""}"
24,24,D_W0_R0,W0,R0,383d181d-8242-4c88-934b-146f2d7b764c,0.0018374994397163391,0.0018374994397163391,3396,3865.4180000012275,3865,937,1.0,0,0.002467,3701,1176,2764,870,937,306,15602.984,0.0,False,1.0,0.25,"{""interaction_class"": ""Baseline""}"
25,25,D_W0_R0,W0,R0,965b781b-276e-4ab0-a510-a8477b23b367,0.011987493053311482,0.011987493053311482,3646,5213.059900008375,4121,975,1.0,0,0.002325,3791,1175,2816,905,975,270,18013.071,0.0,False,1.0,0.25,"{""interaction_class"": ""Baseline""}"
26,26,D_W0_R0,W0,R0,022970d7-7f23-4e53-b4d9-4a7a90716865,0.003937500878237188,0.003937500878237188,4064,3226.628200005507,4602,953,1.0,0,0.002268,3676,1155,2723,892,953,263,15399.883,0.0,False,1.0,1.0,"{""interaction_class"": ""Baseline""}"
27,27,D_W0_R0,W0,R0,84da56e0-5073-4636-854b-b315400d9793,0.006362497515510768,0.006362497515510768,3625,4206.520800013095,4105,949,1.0,0,0.002564,3733,1203,2784,880,949,323,17290.399,0.0,False,1.0,1.0,"{""interaction_class"": ""Baseline""}"
28,28,D_W0_R0,W0,R0,be57fe87-fde6-46a8-84f5-7f8cc6107483,0.0031749987101648003,0.0031749987101648003,3363,4843.0992999929,3851,914,1.0,0,0.002499,3660,1163,2746,846,914,317,17156.448,0.0,False,1.0,1.0,"{""interaction_class"": ""Baseline""}"
29,29,D_W0_R0,W0,R0,b843c38b-d3b1-4e69-90f3-ea542d3adbb3,0.002337503246963024,0.002337503246963024,3151,3218.197699985467,3634,881,1.0,0,0.002231,3437,1086,2556,816,881,270,15237.323,0.0,False,1.0,1.0,"{""interaction_class"": ""Baseline""}"
30,0,D_W0_R1,W0,R1,05a9da12-7009-4d5e-a1d2-4210db26cfcc,0.002337499608984217,0.002337499608984217,3740,5340.389799996046,2053,526,2.0662445202143207,537,0.002146,3397,1291,2871,967,526,324,19171.507,0.0,False,0.45,1.0,"{""interaction_class"": ""Unknown""}"
31,1,D_W0_R1,W0,R1,869a1d0e-472a-4a4d-b9a7-a7d5d716710e,0.004274996172171086,0.004274996172171086,3590,4136.098099988885,1823,449,2.2298409215578716,536,0.001924,3233,1187,2784,892,449,295,17734.933,0.0,False,0.25,0.25,"{""interaction_class"": ""Unknown""}"
32,2,D_W0_R1,W0,R1,9407ac07-7180-477b-b867-10e7aa33b0ba,0.0021874984668102115,0.0021874984668102115,2832,4734.877899987623,1353,331,2.477457501847746,497,0.001626,2921,997,2590,738,331,259,16150.093,0.0,False,0.25,0.0,"{""interaction_class"": ""Unknown""}"
33,3,D_W0_R1,W0,R1,a8709f4f-b179-4f82-b153-f7d5b0404ecd,0.0034750009945128113,0.0034750009945128113,4368,7804.270399996312,2951,846,1.6767197560149103,503,0.003406,3643,1761,2797,1249,846,512,19101.076,0.0,False,0.55,1.0,"{""interaction_class"": ""Unknown""}"
34,4,D_W0_R1,W0,R1,82e2f391-8201-47b4-bf39-d1e547b2dcf5,0.0035124976420775056,0.0035124976420775056,3251,3910.9564000100363,1492,363,2.4886058981233243,536,0.001858,3067,1104,2704,805,363,299,13002.389,0.0,False,0.6,1.0,"{""interaction_class"": ""Unknown""}"
35,5,D_W0_R1,W0,R1,b3be3b16-53cc-408f-b68e-a7b1e090a35a,0.0035999983083456755,0.0035999983083456755,3280,4374.85240001115,1609,409,2.3281541330018647,538,0.001874,3167,1143,2758,850,409,293,16248.028,0.0,False,0.35,1.0,"{""interaction_class"": ""Unknown""}"
36,6,D_W0_R1,W0,R1,4e9081f3-e25d-4b6f-a6e7-3a94a37fc791,0.002449996827635914,0.002449996827635914,3796,3619.172599981539,2242,573,1.9313113291703836,534,0.001903,3473,1284,2900,1018,573,266,15444.68,0.0,False,0.6,1.0,"{""interaction_class"": ""Unknown""}"
37,7,D_W0_R1,W0,R1,c46bf790-a757-4bfe-93d6-b4c5b0dbecc6,0.002037497324636206,0.002037497324636206,3713,4602.945999999065,1902,440,2.2124079915878023,537,0.002035,3225,1200,2785,881,440,319,17061.479,0.0,False,0.35,1.0,"{""interaction_class"": ""Unknown""}"
38,8,D_W0_R1,W0,R1,c98388ab-5ddf-4b0d-b5a8-34d8860a64b2,0.00575000376557,0.00575000376557,3477,4156.891599996015,1927,472,2.0622729631551633,536,0.002247,3281,1269,2809,914,472,355,16410.299,0.0,False,0.35,1.0,"{""interaction_class"": ""Unknown""}"
39,9,D_W0_R1,W0,R1,c87205f3-5167-4865-8b94-fb7520ff8a00,0.0020000006770715117,0.0020000006770715117,3396,4270.607900019968,1754,429,2.2155074116305586,538,0.001989,3205,1182,2776,870,429,312,17906.572,0.0,False,0.55,0.75,"{""interaction_class"": ""Unknown""}"
40,10,D_W0_R1,W0,R1,e35b42d1-6ee8-4235-bb47-b63389f77f97,0.0021000014385208488,0.0021000014385208488,4492,4309.814600012032,2918,844,1.73474982864976,538,0.003399,3781,1791,2937,1280,844,511,15407.412,0.0,False,0.62,1.0,"{""interaction_class"": ""Unknown""}"
41,11,D_W0_R1,W0,R1,c02768b7-bbad-4bde-a606-fb5ef2c22ecb,0.0020625011529773474,0.0020625011529773474,3385,3697.159500006819,1607,391,2.407591785936528,528,0.001821,3075,1115,2684,829,391,286,20533.331,0.0,False,0.25,0.5,"{""interaction_class"": ""Unknown""}"
42,12,D_W0_R1,W0,R1,2484bf25-d68e-487a-96cb-bab2a6fd18a0,0.003450000804150477,0.003450000804150477,3161,3979.751100006979,1845,439,1.967479674796748,452,0.001869,2878,1085,2439,799,439,286,17006.199,0.0,False,0.35,0.25,"{""interaction_class"": ""Unknown""}"
43,13,D_W0_R1,W0,R1,3aa22f04-b21b-498a-9f78-c881409e01e7,0.012799999240087345,0.012799999240087345,3258,4488.398599991342,1918,576,1.991657977059437,538,0.002171,3500,1338,2924,1019,576,319,18464.316,0.0,False,0.25,0.25,"{""interaction_class"": ""Unknown""}"
44,14,D_W0_R1,W0,R1,5808eae9-56be-4364-aa1b-f9c20ec81487,0.0020625011529773474,0.0020625011529773474,3687,3666.6855000075884,1808,415,2.2992256637168142,537,0.001585,3171,1091,2756,857,415,234,16586.786,0.0,False,0.35,0.0,"{""interaction_class"": ""Unknown""}"
45,15,D_W0_R1,W0,R1,add203dd-dc81-485e-8b6f-50bd2226994a,0.002025000867433846,0.002025000867433846,3576,4758.6074999999255,1743,447,2.3207114170969594,538,0.002127,3247,1223,2800,887,447,336,17292.942,0.0,False,0.35,0.25,"{""interaction_class"": ""Unknown""}"
46,16,D_W0_R1,W0,R1,5e40e597-1cbd-41a4-bef5-68431091d473,0.0049249974836129695,0.0049249974836129695,3445,3906.116899976041,1826,439,2.1380065717415113,539,0.001934,3230,1179,2791,880,439,299,16713.746,0.0,False,0.25,0.75,"{""interaction_class"": ""Unknown""}"
47,17,D_W0_R1,W0,R1,d398e770-a7de-40cd-95bf-4aefaec1347c,0.003237502824049443,0.003237502824049443,3500,4175.5784999986645,1849,428,2.1481882098431586,538,0.002043,3207,1192,2779,869,428,323,16389.839,0.0,False,0.45,1.0,"{""interaction_class"": ""Unknown""}"
48,18,D_W0_R1,W0,R1,5db44198-c860-4b82-8aaf-90cba62a37af,0.005812496965518221,0.005812496965518221,3854,3998.8647999998648,1913,423,2.2655514898065867,536,0.002023,3187,1184,2764,864,423,320,16285.005,0.0,False,0.25,1.0,"{""interaction_class"": ""Unknown""}"
49,19,D_W0_R1,W0,R1,1f9ba490-d517-423d-aa15-3159117028dd,0.005924997822148725,0.005924997822148725,3789,4829.78689999436,1817,393,2.3395707209686294,536,0.002133,3127,1182,2734,834,393,348,19291.826,0.0,False,0.42,1.0,"{""interaction_class"": ""Unknown""}"
50,20,D_W0_R1,W0,R1,438ae01a-144f-47c9-bab2-428e104268bd,0.0023874999897088856,0.0023874999897088856,3998,4178.817700012587,1993,435,2.2508780732563975,536,0.00213,3211,1216,2776,877,435,339,19040.541,0.0,False,0.45,0.25,"{""interaction_class"": ""Unknown""}"
51,21,D_W0_R1,W0,R1,0c8f4f86-aa87-4a36-9fda-6d38e42c9624,0.001925003743963316,0.001925003743963316,3484,4144.071599992458,1870,482,2.113903743315508,533,0.002012,3288,1226,2806,920,482,306,16446.247,0.0,False,0.35,0.0,"{""interaction_class"": ""Unknown""}"
52,22,D_W0_R1,W0,R1,b12bd09c-7f27-46cc-999c-98629ad10428,0.0035249977372586727,0.0035249977372586727,3755,4063.5513000015635,1763,440,2.4146341463414633,536,0.0021,3221,1213,2781,881,440,332,18933.819,0.0,False,0.35,0.25,"{""interaction_class"": ""Unknown""}"
53,23,D_W0_R1,W0,R1,f764f000-77ae-4ebf-9b2d-df49b0ac8b6c,0.007024998922133818,0.007024998922133818,3034,4172.939200012479,1285,346,2.7175097276264593,540,0.001881,3045,1095,2699,788,346,307,16295.537,0.0,False,0.35,1.0,"{""interaction_class"": ""Unknown""}"
54,24,D_W0_R1,W0,R1,2ee50bfe-48ce-47f4-9cfa-8db899359752,0.00436250411439687,0.00436250411439687,3481,4096.645500016166,1802,427,2.2008879023307437,538,0.002107,3193,1206,2766,870,427,336,15530.617,0.0,False,0.29,1.0,"{""interaction_class"": ""Unknown""}"
55,25,D_W0_R1,W0,R1,9b590ac8-d30f-4732-a40f-b0c99da0e457,0.0027874993975274265,0.0027874993975274265,3502,4165.173299988965,1660,387,2.3957831325301204,526,0.001912,3073,1123,2686,818,387,305,15985.586,0.0,False,0.35,0.0,"{""interaction_class"": ""Unknown""}"
56,26,D_W0_R1,W0,R1,bd5daec9-1a4d-4f19-a49c-d8b859297eec,0.0035249977372586727,0.0035249977372586727,3336,3866.0682999761775,1581,406,2.418722327640734,538,0.001881,3157,1143,2751,848,406,295,17607.282,0.0,False,0.35,0.5,"{""interaction_class"": ""Unknown""}"
57,27,D_W0_R1,W0,R1,1f85c13f-4f0e-461f-8c5c-1481556ef816,0.009562496416037902,0.009562496416037902,3429,4216.717000002973,1806,486,2.186046511627907,529,0.003046,3285,1434,2799,922,486,512,15701.657,0.0,False,0.45,1.0,"{""interaction_class"": ""Unknown""}"
58,28,D_W0_R1,W0,R1,cb425aa1-3943-4c61-ace5-b6fc5b02f1fc,0.0022874955902807415,0.0022874955902807415,3334,4629.818199988222,1671,386,2.2830640335128667,538,0.001971,3111,1146,2725,829,386,317,16765.554,0.0,False,0.25,0.5,"{""interaction_class"": ""Unknown""}"
59,29,D_W0_R1,W0,R1,fcbbc3fd-5835-4836-b426-8bf3498da5a6,0.002037497324636206,0.002037497324636206,4357,3817.0606000057887,2661,645,1.8327696354753853,535,0.00224,3561,1404,2916,1085,645,319,19231.467,0.0,False,0.35,1.0,"{""interaction_class"": ""Unknown""}"
60,0,D_W0_R2,W0,R2,e22a6f7a-999e-4d1c-91fc-bc6e05cab55e,0.0023999964469112456,0.0023999964469112456,3325,4532.91629999876,1223,298,3.3729874776386404,691,0.005178,3111,1431,2813,919,298,512,20121.302,0.0,False,0.875,1.0,"{""interaction_class"": ""Unknown""}"
61,1,D_W0_R2,W0,R2,d1f80677-d1da-4efc-a46c-f2ecba2d4aba,0.002649998350534588,0.002649998350534588,3107,4250.499699992361,1180,298,3.224074074074074,581,0.004413,2808,1193,2510,812,298,381,18400.815,0.0,False,0.85,0.75,"{""interaction_class"": ""Unknown""}"
62,2,D_W0_R2,W0,R2,82fc3275-b16c-4c62-9951-2be329fed162,0.00342500425176695,0.00342500425176695,3587,4033.6015000066254,1146,271,3.835238095238095,694,0.004232,3062,1252,2791,895,271,357,18290.671,0.0,False,0.85,1.0,"{""interaction_class"": ""Unknown""}"
63,3,D_W0_R2,W0,R2,cfcfe157-1776-4ca5-b532-872f84279c77,0.001900007191579789,0.001900007191579789,3588,8460.004900000058,1329,298,3.2830342577487763,589,0.004606,2902,1239,2604,821,298,418,24333.053,0.0,False,0.65,1.0,"{""interaction_class"": ""Unknown""}"
64,4,D_W0_R2,W0,R2,eddabe0b-6f6b-4380-abfd-14dc0b01a704,0.004874997102888301,0.004874997102888301,3834,4039.1883999982383,1410,298,3.237623762376238,611,0.004488,3032,1229,2734,839,298,390,25214.935,0.0,False,0.85,1.0,"{""interaction_class"": ""Unknown""}"
65,5,D_W0_R2,W0,R2,5f0cbbb6-7841-4e3a-970d-d0c336dba56e,0.003874996764352545,0.003874996764352545,2779,4307.813799998257,1116,255,3.1321499013806706,498,0.003844,2749,1024,2494,683,255,341,20270.503,0.0,False,0.65,0.5,"{""interaction_class"": ""Unknown""}"
66,6,D_W0_R2,W0,R2,aada6d67-5845-4731-a45d-b8bb669efa2a,0.002037497324636206,0.002037497324636206,5470,5444.047299999511,1274,298,5.096252129471891,1057,0.005544,3219,1792,2921,1280,298,512,26242.335,0.0,False,0.72,1.0,"{""interaction_class"": ""Unknown""}"
67,7,D_W0_R2,W0,R2,d00e3678-fc8c-401c-a546-268166eb89bc,0.00326249937643297,0.00326249937643297,3490,3856.601400009822,1274,298,3.3619210977701544,661,0.004333,3084,1237,2786,888,298,349,19418.051,0.0,False,0.85,0.0,"{""interaction_class"": ""Unknown""}"
68,8,D_W0_R2,W0,R2,f2132f2f-9eab-4951-be1e-d9251c8f69dd,0.0019625003915280104,0.0019625003915280104,3314,4732.624299998861,1275,298,3.2145922746781115,623,0.00447,3052,1233,2754,849,298,384,24113.834,0.0,False,0.72,1.0,"{""interaction_class"": ""Unknown""}"
69,9,D_W0_R2,W0,R2,48fe8f1c-ba7b-42b8-821e-eed72a43a379,0.002712506102398038,0.002712506102398038,3426,4694.165299995802,1324,298,3.1420361247947457,567,0.0046289999999999994,2801,1229,2503,802,298,427,19634.872,0.0,False,0.85,0.25,"{""interaction_class"": ""Unknown""}"
70,10,D_W0_R2,W0,R2,53a4e1c1-53ca-4246-9a28-fe031c4575fb,0.003324999852338806,0.003324999852338806,3547,4139.099299994996,1226,285,3.5640569395017794,611,0.004272,2968,1190,2683,828,285,362,19396.426,0.0,False,0.92,1.0,"{""interaction_class"": ""Unknown""}"
71,11,D_W0_R2,W0,R2,501b5734-1f88-47f3-bf9a-d9131ca65dbc,0.0021874984668102115,0.0021874984668102115,3577,4496.3018000125885,1286,298,3.3751058425063505,597,0.0043289999999999995,3025,1183,2727,822,298,361,20495.229,0.0,False,0.95,0.0,"{""interaction_class"": ""Unknown""}"
72,12,D_W0_R2,W0,R2,8ce70cb5-df01-4e85-a88f-ca6da8c86606,0.0042124956962652504,0.0042124956962652504,4697,5530.517499981215,946,298,6.062426383981155,1011,0.005497999999999999,3212,1749,2914,1237,298,512,23001.412,0.0,False,0.85,1.0,"{""interaction_class"": ""Unknown""}"
73,13,D_W0_R2,W0,R2,5d9c4090-1529-4ba1-ac55-5401fa53f66a,0.002112497895723209,0.002112497895723209,3571,4753.5086999996565,1360,298,3.178997613365155,641,0.004763,3057,1310,2759,871,298,439,19768.149,0.0,False,0.85,0.75,"{""interaction_class"": ""Unknown""}"
74,14,D_W0_R2,W0,R2,80a03291-2b59-40c5-9761-0a1047af0bb2,0.002512500941520557,0.002512500941520557,3739,5042.33729999396,1342,298,3.36385737439222,663,0.00515,3080,1404,2782,892,298,512,23587.718,0.0,False,0.85,1.0,"{""interaction_class"": ""Unknown""}"
75,15,D_W0_R2,W0,R2,8880eb9f-833d-48e3-9b28-6220b10d8b1a,0.002262495399918407,0.002262495399918407,4410,3969.7500000183936,1190,298,4.634669151910531,1060,0.0045769999999999995,3232,1597,2934,1279,298,318,19427.698,0.0,False,0.85,1.0,"{""interaction_class"": ""Unknown""}"
76,16,D_W0_R2,W0,R2,329e9bdf-d478-483b-a218-f9966abe1e66,0.0021875021047890186,0.0021875021047890186,4891,7320.561800006544,1122,297,5.339622641509434,1024,0.005509,3232,1757,2935,1245,297,512,25703.998,0.0,False,0.72,1.0,"{""interaction_class"": ""Unknown""}"
77,17,D_W0_R2,W0,R2,d9fd5bea-29d1-4b59-bac4-4deb9bdaf12e,0.003037497663171962,0.003037497663171962,3561,5830.506600002991,1262,298,3.4760661444734553,661,0.004993,3086,1369,2788,888,298,481,23088.727,0.0,False,0.85,1.0,"{""interaction_class"": ""Unknown""}"
78,18,D_W0_R2,W0,R2,3fb68a5d-d21b-48d6-9e39-2378776155df,0.002012500772252679,0.002012500772252679,3825,5473.9438999968115,1319,298,3.4634346754313885,662,0.004819,3085,1336,2787,890,298,446,21762.272,0.0,False,0.85,1.0,"{""interaction_class"": ""Unknown""}"
79,19,D_W0_R2,W0,R2,22ae5e9d-7633-4b95-82fb-19425591915f,0.002025004505412653,0.002025004505412653,3728,6028.237299993634,1266,298,3.5653679653679653,649,0.005136,3076,1388,2778,876,298,512,23354.627,0.0,False,0.85,1.0,"{""interaction_class"": ""Unknown""}"
80,20,D_W0_R2,W0,R2,e0723828-997f-49d1-9f8b-8e122b3107c2,0.0019750004867091775,0.0019750004867091775,3702,5161.546899995301,1323,298,3.3937653814602133,700,0.004727,3111,1350,2813,930,298,420,23225.008,0.0,False,0.75,0.25,"{""interaction_class"": ""Unknown""}"
81,21,D_W0_R2,W0,R2,8e1c64d3-3ffd-4a8c-ac9f-d2582071f5dc,0.002012500772252679,0.002012500772252679,3471,5522.632700012764,1177,298,3.61731843575419,630,0.004437,3016,1234,2718,858,298,376,19982.753,0.0,False,0.75,0.25,"{""interaction_class"": ""Unknown""}"
82,22,D_W0_R2,W0,R2,4e6813a7-00a2-4ac1-9239-ce3cd1b7e660,0.002437496732454747,0.002437496732454747,3644,3571.9821999955457,1224,296,3.6569148936170213,730,0.005203,3142,1468,2846,956,296,512,18094.386,0.0,False,0.95,1.0,"{""interaction_class"": ""Unknown""}"
83,23,D_W0_R2,W0,R2,ee3f6e40-9509-4d0b-b6e6-9a876f5b043e,0.0018500031728763133,0.0018500031728763133,3640,4593.389000016032,1141,298,3.8995169082125605,708,0.005195,3124,1444,2826,932,298,512,21803.253,0.0,False,0.85,1.0,"{""interaction_class"": ""Unknown""}"
84,24,D_W0_R2,W0,R2,7f379708-e418-4daf-a5dd-913fc2f3d75b,0.0023749962565489113,0.0023749962565489113,3772,4497.2029000055045,1253,298,3.63881636205396,624,0.004351,3042,1213,2744,853,298,360,19557.388,0.0,False,0.85,1.0,"{""interaction_class"": ""Unknown""}"
85,25,D_W0_R2,W0,R2,4f61ae73-a0d7-4f6c-b248-669037d99749,0.00327499583363533,0.00327499583363533,3490,4637.43259999319,1112,298,3.9296333002973243,645,0.004672,3072,1291,2774,871,298,420,23055.725,0.0,False,0.85,0.25,"{""interaction_class"": ""Unknown""}"
86,26,D_W0_R2,W0,R2,87bc023a-18ec-46ed-a240-a7d7998fffe1,0.004000004992121831,0.004000004992121831,3494,7010.208300023805,1163,298,3.6701225259189445,686,0.005173,3098,1428,2800,916,298,512,23904.795,0.0,False,0.85,1.0,"{""interaction_class"": ""Unknown""}"
87,27,D_W0_R2,W0,R2,784d8656-761c-44ff-a683-83827377a113,0.0020625011529773474,0.0020625011529773474,3418,7207.197999989148,1192,297,3.530875576036866,667,0.0051470000000000005,3098,1402,2801,890,297,512,23374.993,0.0,False,0.85,1.0,"{""interaction_class"": ""Unknown""}"
88,28,D_W0_R2,W0,R2,c0fd022d-1bd3-4907-ab0f-9c3f18e8ec33,0.0019750004867091775,0.0019750004867091775,3366,5118.622300011339,1295,298,3.2359832635983263,686,0.005173,3107,1425,2809,913,298,512,21106.562,0.0,False,0.85,1.0,"{""interaction_class"": ""Unknown""}"
89,29,D_W0_R2,W0,R2,7b69e87e-8ce0-43a8-b61a-1bd5fc3137aa,0.0021999985619913787,0.0021999985619913787,3861,4372.99420000636,1332,298,3.468954248366013,640,0.004377000000000001,3029,1232,2731,870,298,362,23584.213,0.0,False,0.85,1.0,"{""interaction_class"": ""Unknown""}"
